scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,raw_targeted_benign_successes,valid_targeted_benign_successes,raw_targeted_benign_asr,valid_targeted_benign_asr,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2026,3200,0,0,3198,0.0,0.0,0.0,0.999375,0,0,0.0,0.0,189.92125,224.37445535673157,223.92756820523988,0.004831492171737967,7.72625,0,,,,42.62812820007093,13.321290062522166
victim,cicids2017_distrinet,mlp,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,42,3200,131,131,3200,0.0409375,0.0409375,0.0,1.0,131,131,0.0409375,0.0409375,187.08625,3420.7000328937256,3420.6329511898093,0.02092408612312929,8.128125,0,0.6000001430511475,0.0,1234476.0,9.400007800199091,2.937502437562216
victim,cicids2017_distrinet,mlp,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2024,3200,131,131,3200,0.0409375,0.0409375,0.0,1.0,131,131,0.0409375,0.0409375,187.08625,3420.6066038939152,3420.5396059480818,0.02090030838689296,8.133125,0,0.600000262260437,0.0,1294248.0,9.588177700061351,2.996305531269172
victim,cicids2017_distrinet,mlp,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2026,3200,131,131,3200,0.0409375,0.0409375,0.0,1.0,131,131,0.0409375,0.0409375,187.08625,3421.733242153644,3421.666246026766,0.020919436645810988,8.1346875,0,0.6500002145767212,0.0,1258335.0,9.578436999814585,2.9932615624420578
victim,cicids2017_distrinet,cnn,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,42,3200,424,424,3200,0.1325,0.1325,0.0,1.0,424,424,0.1325,0.1325,187.08625,3105.919868897411,3105.853653198241,0.01948217413219282,8.2003125,0,0.6344540119171143,0.0,1007616.5,10.360193099593744,3.237560343623045
victim,cicids2017_distrinet,cnn,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2024,3200,424,424,3200,0.1325,0.1325,0.0,1.0,424,424,0.1325,0.1325,187.08625,3124.48510719765,3124.4182539672606,0.019585617209078594,8.19875,0,0.6529500782489777,0.0,1028515.5,10.218763799639419,3.1933636873873184
victim,cicids2017_distrinet,cnn,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2026,3200,424,424,3200,0.1325,0.1325,0.0,1.0,424,424,0.1325,0.1325,187.08625,3129.250102460808,3129.1832701140806,0.01954074691561452,8.1959375,0,0.6499996781349182,0.0,1070214.0,10.322039499646053,3.2256373436393915
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,42,3200,4,4,3200,0.00125,0.00125,0.0,1.0,4,4,0.00125,0.00125,187.165,3275.0229201399184,3274.961823235546,0.019695072727675705,8.1065625,0,0.27245138585567474,0.0,5271.5,43.029783699894324,13.446807406216976
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2024,3200,4,4,3200,0.00125,0.00125,0.0,1.0,4,4,0.00125,0.00125,187.165,3272.8725756584986,3272.811807190174,0.019683137400506714,8.10625,0,0.24843411147594452,0.0,5112.0,43.6130154998973,13.629067343717907
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2026,3200,4,4,3200,0.00125,0.00125,0.0,1.0,4,4,0.00125,0.00125,187.165,3271.3710823925417,3271.3113024107656,0.01969165936525446,8.103125,0,0.2750381827354431,0.0,5697.0,42.972541300114244,13.428919156285701
