scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2017_distrinet,mlp,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,42,3200,354,354,3200,0.110625,0.110625,0.0,1.0,188.315,3447.148063731897,3447.0621194714713,0.03856181897181603,15.008125,0,1.3999998569488525,27.0,319355.0,10.562128100078553,3.300665031274548
victim,cicids2017_distrinet,mlp,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,2024,3200,354,354,3200,0.110625,0.110625,0.0,1.0,188.315,3439.2625731012795,3439.1765218571127,0.03850307370444328,15.016875,0,1.4000020623207092,27.5,289850.5,10.004117799922824,3.1262868124758825
victim,cicids2017_distrinet,mlp,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,2026,3200,354,354,3200,0.110625,0.110625,0.0,1.0,188.315,3440.592153296642,3440.506270362197,0.03849171160713573,15.0134375,0,1.3999994993209839,27.0,329732.0,10.206539700040594,3.1895436562626855
victim,cicids2017_distrinet,cnn,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,42,3200,1174,1174,3200,0.366875,0.366875,0.0,1.0,188.2134375,2916.4368909380837,2916.354206765244,0.03516279709642007,14.9121875,0,1.6069518327713013,52.0,1361788.5,8.518726600101218,2.6621020625316305
victim,cicids2017_distrinet,cnn,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,2024,3200,1172,1172,3200,0.36625,0.36625,0.0,1.0,188.2134375,2915.973537879709,2915.890712584097,0.03520725378023754,14.9159375,0,1.6046198606491089,52.0,1358122.5,8.42190649965778,2.6318457811430562
victim,cicids2017_distrinet,cnn,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,2026,3200,1174,1174,3200,0.366875,0.366875,0.0,1.0,188.2134375,2922.688336068812,2922.6050146061193,0.03512911156976621,14.8825,0,1.6115890145301819,52.0,1346230.5,8.613890500273556,2.691840781335486
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,42,3200,16,16,3200,0.005,0.005,0.0,1.0,188.05625,2636.99709374025,2636.9182506066295,0.03210709145305694,13.329375,0,0.19230769574642181,14.5,0.0,39.17405930021778,12.241893531318055
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,2024,3200,16,16,3200,0.005,0.005,0.0,1.0,188.05625,2636.2433136594423,2636.1635174430476,0.03208149796726988,13.3171875,0,0.19230769574642181,14.5,0.0,38.715684299590066,12.098651343621896
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,2026,3200,16,16,3200,0.005,0.005,0.0,1.0,188.05625,2640.0816713730824,2640.001882141079,0.032092646187495105,13.3203125,0,0.19230769574642181,14.5,0.0,39.01555830007419,12.192361968773184
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,42,3200,385,6,2376,0.1203125,0.001875,11.84375,0.7425,192.855,396.45436955808975,394.66950082986557,0.025539759161923713,8.708125,0,0.9644812345504761,0.0,2806223.5,11.462600099854171,3.5820625312044285
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,2024,3200,384,7,2377,0.12,0.0021875,11.78125,0.7428125,192.855,396.4991593708717,394.71404050151557,0.025539110081894637,8.7175,0,0.9999998211860657,0.0,3692334.0,10.798521499615163,3.3745379686297383
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,2026,3200,383,5,2372,0.1196875,0.0015625,11.8125,0.74125,192.855,397.0917925247005,395.30628968554214,0.025577637182855342,8.7134375,0,0.9999998807907104,0.0,5849704.0,10.886758800130337,3.4021121250407305
victim,cicids2018_distrinet,cnn-s42,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,42,3200,490,1,760,0.153125,0.0003125,15.281250000000002,0.2375,192.7915625,382.8955002498787,380.90695255746306,0.04268092097400862,13.561875,0,0.23140014708042145,0.0,551187.0,10.135942599736154,3.167482062417548
victim,cicids2018_distrinet,cnn-s42,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,2024,3200,490,1,761,0.153125,0.0003125,15.281250000000002,0.2378125,192.7915625,376.2388447200442,374.26989593632015,0.042533016391016865,13.576875,0,0.4322364926338196,0.0,68996.0,9.648094699718058,3.015029593661893
